date,location,source,type,product,unit,price,price_old,discount,price_kg
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Слънчоглед печен белен ROIS 80 г,NA,1.45,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Слънчоглед KRONOS белен 70 г,NA,1.45,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Стафида ЕЛИТ златна 80 г,NA,1.45,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Авокадо, бр.",NA,1.49,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,ROIS Печена царевица Extra със сол 90 гр.,NA,1.55,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Пуканки за микровълнова НАЙ-НАЙ 82 гр.,NA,1.55,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Пуканки за микровълнова FAVORITE extra butter 90 гр.,NA,1.55,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Пуканки за микроволнова POP Caruso с масло 75 г,NA,1.6500000000000001,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Слънчоглед OPTIMA LINIJA 200 гр.,NA,1.6500000000000001,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Репички,NA,1.6900000000000002,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Слънчоглед ROIS печени, бели, солени семки 75 г",NA,1.75,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Слънчоглед ROIS печени, бели семки 75 г",NA,1.75,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Слънчоглед пъстър KRONOS Jumbo 130гр,NA,1.75,NA,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Парти ядки уасаби 70 г,NA,1.85,NA,NA,NA
